,Number of Certified Beds,Number of Residents in Certified Beds,Total Weighted Health Survey Score,Adjusted Total Nurse Staffing Hours per Resident per Day,Number of Facility Reported Incidents,Number of Substantiated Complaints,Total Number of Penalties,clusters,cluster
12777,80,72,21.333,6.35522,0,0,0,0,pink
12778,180,149,103.333,4.20126,0,15,1,1,v.light purple
12779,177,119,11.333,5.55807,12,5,1,1,v.light purple
12780,38,38,14.0,5.68931,0,1,0,0,pink
12781,38,36,4.667,7.09173,0,0,0,0,pink
12782,40,33,77.333,5.0493,0,3,0,0,pink
12783,140,98,42.0,3.72287,0,6,0,2,light purple
12784,126,112,62.0,3.84434,4,9,0,2,light purple
12785,192,170,50.667,4.1557,0,3,0,1,v.light purple
12786,30,24,22.667,5.03915,0,4,0,0,pink
12787,96,65,72.5,3.35375,10,10,5,2,light purple
12788,125,111,33.333,3.42661,2,0,0,2,light purple
12789,16,12,41.333,4.05897,0,1,0,0,pink
12790,307,282,30.667,3.89693,0,0,0,4,dark purple
12791,40,37,4.667,5.39296,0,0,0,0,pink
12792,105,95,16.0,5.12299,6,0,1,2,light purple
12793,150,140,122.5,3.14602,22,18,1,5,v.dark purple
12794,60,53,41.333,4.83111,0,2,0,0,pink
12795,38,23,28.667,5.32264,0,0,0,0,pink
12796,80,73,76.667,5.10331,0,0,1,2,light purple
12797,30,28,32.667,3.88843,4,0,0,0,pink
12798,130,103,119.0,5.15932,0,3,0,5,v.dark purple
12799,96,45,6.0,5.24657,0,0,0,0,pink
